en,te,hi,keywords,categories,aisle,rack
Beacon Sparklers 20/5 Pcs,బీకాన్ స్పార్క్లర్స్ 20/5 పీసీఎస్,बी कैन स्पार्कलर्स 20/5 पीसी,"beacon sparklers, sparklers, fireworks","Pickles, Sauces & Instant",6,30
Beater,బీటర్,बीटर,"beater, electric beater",Tea & Beverages,7,1
Bedekar Golden Chiwda,బెడెకర్ గోల్డెన్ చివ్వడ,बेडेकार गोल्डन चिवड़ा,"bedekar golden chiwda, chiwda",Tea & Beverages,7,2
Bedekar Green Chilli Pickle,బెడెకర్ పచ్చిమిరి ఆచార్,बेडेकार हरी मिर्च अचार,"bedekar green chilli pickle, green chilli pickle",Tea & Beverages,7,3
Bedekar Mango Lime Pickle,బెడెకార్ మాంగో లైమ్ పిక్కిల్,बेडेकार मैंगो लाइम पिक्कल,"mango lime pickle, bedekar pickle",Tea & Beverages,7,4
Bedekar Mixed Pickle,బెడెకార్ మిశ్రమ పిక్కిల్,बेडेकार मिश्रित पिक्कल,"mixed pickle, bedekar pickle",Tea & Beverages,7,5
Bedekar Pickle,బెడెకార్ పిక్కిల్,बेडेकार पिक्कल,bedekar pickle,Tea & Beverages,7,6
Bedekar Spical Chawda,బెడెకార్ స్పికల్ చావ్డా,बेडेकार स्पिकल चावड़ा,"spical chawda, bedekar pickle",Tea & Beverages,7,7
Bengal Gram Lentil,బెంగాల్ గ్రామ్ లెంటిల్,बंगाल ग्राम लेंटिल,"['bengal gram lentil', 'chickpea lentil']","Pickles, Sauces & Instant",6,4
Bengali Sweets,బెంగాలీ మీట్లు,बंगाली मिठाई,bengali sweets,Tea & Beverages,7,9
Ber,బెర్,बेर,"['ber', 'berry']",Tea & Beverages,7,10
Berry Fantasy,బెర్రీ ఫ్యాంటసీ,बेरी फैंटेसी,"['berry', 'fantasy']",Tea & Beverages,7,11
besan,బెసన్,बेसन,"['gram flour', 'chickpea flour']",Tea & Beverages,7,12
Best Bakery Almond Cookies,బెస్ట్ బేకరీ ఆల్మండ్ కుక్కీలు,बेस्ट बेकरी अल्मंड कुकीज़,"['almond', 'cookies']",Tea & Beverages,7,13
Bhagwati's Patra Vagar,భగవతీస్ పట్ర వగర్,भगवाती का पत्र वागर,"['patra', 'vagar']",Tea & Beverages,7,14
Bhagwati's Sandwich Dhokla,భగవతీస్ సాండ్విచ్ ధోక్లా,भगवाती का सैंडविच धोकला,"['sandwich', 'dhokla']",Tea & Beverages,7,15
Bhagwati's Surti Khaman,భాగవతి సర్తి ఖమాన్,भागवती की सर्ती खमन,"['khaman', 'gujarati', 'snack']",Tea & Beverages,7,16
Bhakri,భక్రి,भाकरी,"['flatbread', 'indian']",Tea & Beverages,7,17
Bhakri Chili,భక్రి చిలీ,भाकरी चिली,"['chili', 'spicy', 'bhakri']",Tea & Beverages,7,18
Bhakri Jeera,భక్రి జీరా,भाकरी जीरा,"['jeera', 'cumin', 'bhakri']",Tea & Beverages,7,19
Bhatura,భటూరా,भटूरा,"['fried', 'bread', 'indian']",Tea & Beverages,7,20
Bhatura Bulk,భటురా బ్యాచ్,भटूरा बुल्क,"['bhatura', 'bulk']",Tea & Beverages,7,21
Bhature Ka Atta,భటూర్ కా అట్టా,भटूरे का आटा,"['bhature', 'atta']",Tea & Beverages,7,22
Bhindi,భిండి,भिंडी,['bhindi'],Tea & Beverages,7,23
Bhindi Whole,భిండి పూర్తి,भिंडी पूरी,"['bhindi', 'whole']",Tea & Beverages,7,24
Bhuji Plain Haldi,భూజి ప్లేన్ హల్డి,भूजी प्लेन हल्दी,"['bhuji', 'haldi']",Tea & Beverages,7,25
Bhujia,భూజియా,भूजिया,"['bhujia', 'snack']",Tea & Beverages,7,26
Big Eggplant,పెద్ద బఠానీ,बड़ा अंडा बैंगन,"['eggplant', 'big', 'vegetable']",Tea & Beverages,7,27
Bikano Aloo Bhuja,బికానో ఆలూ భూజా,बिकानो आलू भुजा,"['bikano', 'aloo bhuja', 'snacks']",Tea & Beverages,7,28
Birds Custard Powder,పక్షుల కస్టర్డ్ పావడర్,पक्षियों का कस्टर्ड पाउडर,"['custard', 'powder', 'baking']",Tea & Beverages,7,29
Biryani,బిర్యానీ,बिरयानी,"['indian rice dish', 'mixed rice']",Tea & Beverages,7,30
Biryani Masala,బిర్యానీ మసాలా,बिरयानी मसाला,"['biryani', 'masala', 'spice']",Personal Care & Household,8,1
Biryani Masala,బిర్యానీ మసాలా,बिरयानी मसाला,"['biryani', 'masala', 'spice']",Personal Care & Household,8,2
Bitta Misal,బిట్టా మిసల్,बिट्टा मिसाल,"['indian street food', 'curried sprouts']",Personal Care & Household,8,3
Black Beans,నల్ల మొక్కజొన్న,काले मूंग,"['legumes', 'beans']",Personal Care & Household,8,5
Black Bourbon,నల్ల బౌర్బాన్,काला बोरबॉन,"['whiskey', 'spirits']",Personal Care & Household,8,6
Black Salt,నల్ల పసుపు,काला नमक,"['seasoning salt', 'kala namak']",Personal Care & Household,8,7
Black Urad Whole,బ్లాక్ ఉరాడ్ వ్హోల్,काला उरद पूरा,"['black urad whole', 'urad dal whole']",Personal Care & Household,8,8
Blanded Almond,బ్లాండెడ్ అల్మండ్,ब्लैंडेड बादाम,"['blanded almond', 'almond']",Personal Care & Household,8,9
Blossom Hill Clover Honey,బ్లాసమ్ హిల్ క్లోవర్ హనీ,ब्लॉससम हिल क्लॉवर हनी,"['blossom hill clover honey', 'clover honey']",Personal Care & Household,8,10
Bombay Kitchen Achari Kitchen,బాంబే కుటీర అచారి కుటీర,बॉम्बे किचन अचारी किचन,"['bombay kitchen achari kitchen', 'achari masala']",Personal Care & Household,8,11
Bombay Kitchen Chicken 65,బాంబే కుటీర చికెన్ 65,बॉम्बे किचन चिकन 65,"['bombay kitchen chicken 65', 'chicken 65']",Personal Care & Household,8,12
Bombay Kitchen Chicken Biryani,బాంబే కుక్కు చికెన్ బిర్యానీ,बॉम्बे किचन चिकन बिरयानी,"['chicken biryani', 'bombay kitchen', 'indian food']",Personal Care & Household,8,13
Bombay Kitchen Chicken Chettinad,బాంబే కుక్కు చికెన్ చెట్టినాడ్,बॉम्बे किचन चिकन चेट्टीनाड,"['chicken chettinad', 'indian spices', 'south indian']",Personal Care & Household,8,14
Bombay Kitchen Chicken Kabab,బాంబే కుక్కు చికెన్ కబాబ్,बॉम्बे किचन चिकन कबाब,"['chicken kabab', 'indian street food', 'kebabs']",Personal Care & Household,8,15
Bombay Kitchen Chicken Korma,బాంబే కుక్కు చికెన్ కోర్మా,बॉम्बे किचन चिकन कोरमा,"['chicken korma', 'mughlai cuisine', 'indian curries']",Personal Care & Household,8,16
Bombay Kitchen Chicken Makhani,బాంబే కుక్కు చికెన్ మఖనీ,बॉम्बे किचन चिकन मखनी,"['chicken makhani', 'butter chicken', 'indian restaurant']",Personal Care & Household,8,17
Bombay Kitchen Chicken Samosa,బాంబే కుక్కు చికెన్ సమోసా,बॉम्बे किचन चिकन समोसा,"['chicken samosa', 'bombay kitchen']",Personal Care & Household,8,18
Bombay Kitchen Chicken Tikka Masala,బాంబే కుక్కు చికెన్ టిక్కా మసాలా,बॉम्बे किचन चिकन टिक्का मसाला,"['chicken tikka masala', 'bombay kitchen']",Personal Care & Household,8,19
Bombay Kitchen Kadai Chicken,బాంబే కుక్కు కడాయి చికెన్,बॉम्बे किचन कढाई चिकन,"['kadai chicken', 'bombay kitchen']",Personal Care & Household,8,20
Bombay Kitchen Lamb Biryani,బాంబే కుక్కు మేక బిర్యానీ,बॉम्बे किचन लैम्ब बिरयानी,"['lamb biryani', 'bombay kitchen']",Personal Care & Household,8,21
Bombay Kitchen Spicy Punjabi Mix 10oz,బాంబే కుక్కు వేడి పంజాబీ మిశ్రమం 10oz,बॉम्बे किचन मिर्ची पंजाबी मिश्रण 10oz,"['spicy punjabi mix', 'bombay kitchen']",Personal Care & Household,8,22
Boomdi,బూండి,बूंदी,"['boondi', 'di']",Personal Care & Household,8,23
Boondi Jain Sweets,బూండి జైన్ స్వీట్స్,बूंदी जैन स्वीट्स,"['boondi', 'jain', 'sweets']",Personal Care & Household,8,24
Boondi Masala,బూండి మసాలా,बूंदी मसाला,"['boondi', 'masala']",Personal Care & Household,8,25
Boondi Sev,బూండి సెవ్,बूंदी सेव,"['boondi', 'sev']",Personal Care & Household,8,26
Boost,బూస్ట్,बूस्ट,['boost'],Personal Care & Household,8,27
Boro Plus 1,బోరో ప్లస్ 1,बोरो प्लस 1,"['boro plus 1', 'boro plus']",Personal Care & Household,8,28
Borwicks Baking Powder,బోర్విక్స్ బేకింగ్ పవ్డర్,बोर्विक्स बेकिंग पाउडर,"['borwicks baking powder', 'baking powder']",Personal Care & Household,8,29
Bourbon,బౌర్బన్,बौर्बन,"['bourbon', 'whiskey']",Personal Care & Household,8,30
Bowl 1,బౌల్ 1,बाउल 1,"['bowl', 'tableware']",Uncategorized,,
Brahmi Brahmi Capsules 60,బ్రాహ్మి బ్రాహ్మి క్యాప్సుల్స్ 60,ब्रह्मी ब्रह्मी कैप्सूल्स 60,"['brahmi brahmi capsules', 'ayurvedic supplements']",Uncategorized,,
Brahmins Broken Samba Wheat,బ్రాహ్మణ్ల బ్రాకెన్ సాంబా గోధుమ,ब्रह्मणों का टूटा हुआ सांबा गेहूं,"['broken wheat', 'samba wheat', 'brahmins wheat']",Uncategorized,,
Brahmins Chemba Puttu Podi,బ్రాహ్మణ్ల చెంబ పుట్టు పొడి,ब्रह्मणों का चेम्बा पुट्टू पाउडर,"['chemba puttu podi', 'brahmins puttu powder']",Uncategorized,,
Brahmins Dosa Podi,బ్రాహ్మణ్ల దోస పొడి,ब्रह्मणों का डोसा पाउडर,"['dosa podi', 'brahmins dosa powder']",Uncategorized,,
Brahmins Fried Rava,బ్రాహ్మణ్ల నేలకూరను వంటి రవా,ब्रह्मणों का तला हुआ रावा,"['fried rava', 'brahmins rava']",Uncategorized,,
Bras Sev Sancha,బ్రాస్ సేవ్ సంచ,ब्रास सेव संच,"['bras sev sancha', 'crunchy sev']",Uncategorized,,
Britannia 5 Grain Biscuit,బ్రిటానియా 5 గ్రేన్ బిస్కెట్,ब्रिटेनिया 5 ग्रेन बिस्किट,"['britannia', '5 grain', 'biscuit']",Uncategorized,,
Britannia 50-50,బ్రిటానియా 50-50,ब्रिटेनिया 50-50,"['britannia', '50-50']",Uncategorized,,
Britannia Bourbon,బ్రిటానియా బౌర్బన్,ब्रिटेनिया बोर्बन,"['britannia', 'bourbon']",Uncategorized,,
Britannia Chocolate Cream Wafers,బ్రిటానియా చోక్లేట్ క్రీమ్ వేఫర్స్,ब्रिटेनिया चॉकलेट क्रीम वेफर्स,"['britannia', 'chocolate', 'cream', 'wafers']",Uncategorized,,
Britannia Chocolate Wafers,బ్రిటానియా చోక్లేట్ వేఫర్స్,ब्रिटेनिया चॉकलेट वेफर्स,"['britannia', 'chocolate', 'wafers']",Uncategorized,,
Britannia Cows Ghee,బ్రిటానియా కోవ్స్ గ్హీ,ब्रिटेनिया कॉव्स घी,"britannia cows ghee, cow ghee, Britannia cow ghee",Uncategorized,,
Britannia Date Rolls,బ్రిటానియా డేట్ రోల్స్,ब्रिटेनिया डेट रोल्स,"britannia date rolls, Britannia date rolls",Uncategorized,,
Britannia Digestive,బ్రిటానియా డైజెస్టివ్,ब्रिटेनिया डाइजेस्टिव,"britannia digestive, Britannia digestive biscuits",Uncategorized,,
Britannia Fig Rolls,బ్రిటానియా ఫిగ్ రోల్స్,ब्रिटेनिया फिग रोल्स,"britannia fig rolls, Britannia fig rolls",Uncategorized,,
Britannia Funky Choco,బ్రిటానియా ఫంకీ చోకో,ब्रिटेनिया फंकी चोको,"britannia funky choco, Britannia funky chocolate",Uncategorized,,
Britannia Funky Choco,బ్రిటానియా ఫంకీ చోకో,ब्रिटेनिया फंकी चॉको,"['funky choco', 'britannia']",Uncategorized,,
Britannia Good Day Butter,బ్రిటానియా గుడ్ డే బట్టర్,ब्रिटेनिया गुड डे बटर,"['good day butter', 'britannia']",Uncategorized,,
